Title,Author (comma seperated),Publish Date,ISBN,Tags (comma separated),height total (inches)
Architecting with RM-ODP,Janis R. Putman,2001,9780130191168,"separation of concerns, compsition and semantics, architecture model, CORBA",
"Java Design: Objects, UML, and Process",Kirk Knoernschild,2002,9780201750447,"O-O principles and patterns, UML, software process, modeling strategies, behavioral modeling, architectural modeling, refactoring",
The Waite Groups UNIX Primer Plus Second Edition,"Mitchell Waite, Donald Martin, Stephan Prata",1990,9780672227295,"shells, advanced editing, shell script, metacharacters, grep",
UNIX Shell Programming Revised Edition,"Stephen G. Kochan, Patrick H. Wood",1990,9780672484483,"automation, Bourne shell, Korn shell",
Computer Organization and the MC68000,"Panos E. Livadas, Christopher Ward",1993,9780131589407,"machine language, assembly language, registers, encoders, decoders, binary integer arithmetic",
Guide to Enterprise IT Architecture,"Col Perks, Tony Beveridge",2003,9780387951324,"information architecture, foundation architecture, technical architecture, business strategy",
Understanding .NET: A Tutorial and Analysis,David Chappell,2002,9780201741629,"web service technologies, Common Language Runtime, ADO.NET, C#, Visual Basic.NET, ASP.NET",
The Business of Ecommerce: From Corporate Strategy to Technology,Paul May,2000,9780521776981,"business-to-business, business-to-consumer, fat client, architectures, application areas",
Exploring the UNIX System Second Edition,"Stephen G. Kochan, Patrick H. Wood",1989,9780672484476,"shell, Korn shell, e-mail, UNIX commands, UNIX organization",
Programming Languages: Design and Implementation Second Edition,Terrence W. Pratt,1975,013730580X,"LISP, Ada, Pascal, SNOBOL4, APL, syntax, data objects, data types, control structures",
Starting Forth,Leo Brodie,1981,138429227,"loops, fixed point, signed/unsigned numbers, I/O",41.5 in
Developing Enterprise Java Applications with J2EE and UML,"Khawar Zaman Ahmed, Cary E. Umrysh",2002,9780201738292,"visual modeling, software architecture, servlets, session beans, entity beans, message-driven beans",
An Intoduction to General Systems Thinking Silver Aniversary Edition,Gerald M. Weinberg,2001,9780932633491,"systems theory, principle of indifference, dimensional analysis, observations",
Cognitive Patterns: Problem-Solving Frameworks for Object Technology,"Karen M. Gardner, Alexander Rush, Michael K. Crist, Robert Konitzer, Bobbin Teegarden",1998,9780521649988,"KADS Object, cognitive model domain, mental model domain, mapping KADS Object to OO design elements, technical architecture",
The Pattern Almanac 2000,Linda Rising,2000,9780201615678,"pattern collections, design patterns",
Problem Frames: Analyzing and structuring software development problems,Michael Jackson,2001,9780201596274,"problem diagram, problem domain, subproblems, problems outside the computer",
Architecture-Centric Software Project Management: A Practical Guide,Daniel J. Paulish,2002,9780201734096,"global analysis, risk management, managing tradeoffs, software development plan, project schedule, project orginization",
Software Blueprints: Lightweight Uses of Logic in Conceptual Modelling,"David Robertson, Jaume Agusti",1999,9780201398199,"case-based reasoning, argumentation framework, computing with logic, temporal reasoningparadigms of design",
Synthesis-Based Software Architecture Design,Bedir Tekinerdogan,2000,9036514304,"software architecture design, design algebra, technical problem analysis, solution domain analysis, alternative design space analysis",
Software Architecture: Organization Principles and Patterns,"David M. Dikel, David Kane, James R. Wilson",2001,9780130290328,"VRAPS model, product-line architectural framework, organizational principles",
Adaptive Software Development: A Collaborative Approach to Managing Complex Systems,James A. Highsmith III,2000,9780932633408,"RAD approach, adaptive development cycles, adaptive management, structual collaboration",
Object Oriented Programming: An Evolutionary Approach,Brad J. Cox,1986,201103931,"reusable objects, system building, inheritance, class categories, encapsulation",
"Computing Calamities: Lessons learned from products, projects, and companies that failed",Robert L. Glass,1999,9780130828620,mundane to massive failures,
Design and Use of Software Architectures: Adopting and evolving a product-line approach,Jan Bosch,2000,9780201674941,"product-line architectures, quality attributes, software product line, family-based system development",
Process For System Architecture and Requirements Engineering,"Derek Hatley, Peter Hruschka, Imtiaz Pirbhai",2000,9780932633415,"architecture modules, control flow, system development models, system development process, case-studies",
Formal Methods for Distributed Processing: A Survey of Object-Oriented Approaches,"Howard Bowman, John Derrick",2001,9780521771849,"object-oriented distributed systems, dynamic reconfiguration, subtyping, concurrent OO languages, nonfunctional requirements, development architectures",
LISP: A Gentle Introduction to Symbolic Conputation,David S. Touretzky,1984,006046657X,"EVAL notation, conditionals, list data structures, applicative operators, recursion",
Principles of Compiler Design,"Alfred V. Aho, Jeffrey D. Ullman",1977,201000229,"symbol tables, syntax-directed translation, run-time storage administration, code optimization, loop optimization, basic parsing, data-flow analysis",
Software Product-Line Engineering: A Family-Based Software Development Process,"David M. Weiss, Chi Tau Robert Lai",1999,9780201694383,"FAST process, process modeling, artifact definitions, PASTA model, role definitions",
Getting Started with Matlab: A Quick Introduction for Scientists and Engineers,Rudra Pratap,1996,9780030178849,"interactive numerica computation, data analysis",
Introduction to Pascal,Neil Graham,1980,829903348,"structured types, searching and sorting, selection, simple data types",
Software Architecture Bootcamp,"Raphael Malveau, Thomas J. Mowbray",2001,9780130274076,"scalability, refactoring, abstraction, software paradigms, system integration",
Object-Oriented Modeling and Design,"James Rumbaugh, Michael Blaha, William Premerlani, Fredrick Eddy, William Lorensen",1991,9780136298410,"high level design, dynamic modeling, functional modeling, programming style, system design",58.5
The Art of Objects: Object-Oriented Design and Architecture,Yun-Tung Lau Ph.D.,2001,9780201711615,"object design patterns, persistant objects, basic database mamagement, UML notation basics, procedural processing, multi-tier architecture",
Agile Software Development Ecosystems,Jim Highsmith,2002,9780201760439,"Scrum, Crystal Methods, Lean Development, Extreme Programming, Dynamic Systems Development Method, Feature-Driven Development, Adaptive Software Development",
"Generative Programming: Methods, Tools, and Applications","Krzystof Czarnecki, Ulrich W. Eisenecker",2000,9780201309775,"automating software development, feature modeling, domain engineering, aspect-oriented programming, generators",
Component-Based Development for Enterprise Systems: Applying the SELECT Perspective,"Paul Allen, Stuart Frost",1998,9780521649995,"legacy systems, component technology, business services, collaboration diagrams, UML, reusable software",
Assesment and Control of Software Risks,Caspers Jones,1994,9780137414062,"software maintenance, software estimating, error-prone modules, false productivity claims, missed schedules, lack of reusable data, low productivity",
Model Driven Architecture with Executable UML,"Chris Raistrick, Paul Francis, John Wright, Colin Carter, Ian Wilkie",2004,9780521537711,"Model Driven Architecture, xUML, use case modelling, dynamic modelling, platform-independent modelling, system generation, code generation",
Journey of ther Software Professional: A Sociology of Software Development,Luke Hohmann,1997,9780132366137,"team culture, communication effectiveness, team-problem solving, cognitive models, COBOL",
TEX for the Beginner,Wynter Snow,1992,9780201547993,"TEX macros, typesetting, control sequences, TEX math mode, bug diagnosis",
Best Practices for the Formal Software Testing Process: A Menu of Testing Tasks,Rodger D. Drabick,2004,9780932633583,"IPO diagrams, test cases, test procedures, test documentation, regression testing, test plan",
Automatic Data Processing: System/360 Edition,"Frederick P. Brooks Jr., Kenneth E. Iverson",1969,471106054,"number systems, symbolic logic, punch cards, computer coding, computer orginization, searching and sorting, system design",
Software Craftsmanship: The New Imperative,Pete McBreen,2002,9780201733860,"understanding requirements, designing goals, COBOL, realistic delivery dates, journeymen developers, apprentice developers, design for testing and maintenance",
Component-based Development: Principles and Planning for Business Systems,Katharine Whitehead,2002,9780201675283,"software infrastructure, defining components, designing components, assembling components, testing",
The Building Block Method: Component-Based Architectural Design for Large Software-Intensive Product Families,Jurgen K. Muller,2003,9074445586,"system-quality-based design tasks ,concurrency design, aspect design, object design, family architecture, method specialisation",
"Creating Components: Object Oriented, Concurrent, and Distributed Computing in Java",Charles W. Kann,2004,9780849314995,"threads, state diagrams, collection classes, cooperative synchronization, RMI, program management",
The STL <Primer>,"Graham Glass, Brett Schuchert",1996,9780134549767,"containers, iterators, error handling, algorithms, function objects, pairs, strings, allocators, multi-threaded environment",
Executable UML: A Foundation for Model-Driven Architecture,"Stephen J. Mellor, Marc J. Balcer",2002,9780201748048,"object constrain language, action semantics, action languages, domains, bridges, use cases, relationship dynamics, model management, model compilers",
Adopting the Rational Unified Process: Success with the RUP,"Stephan Bergstrom, Lotta Raberg",2004,9780321202949,"seven sins of RUP, assesing organization, motivating adoption of RUP, planning adoption of RUP,",
Beyond Chaos: The Expert Edge in Managing Software Development,Larry L. Constantine,2001,9780201719604,"dealing with people, project management, essay collection, pressure, quality, process and practices",
Building Reliable Component-Based Software Systems,"Ivica Crnkovic, Magnus Larsson",2002,9781580533270,"definition of components, architecture and components, developing components, product lines, real-time software components",
Invasive Software Composition,Uwn ABmann,2003,9783540443858,"composition systems, fragment box, hook, composer, declared hooks, implicit hooks, aspect composition",
Foundations of Component-Based Systems,"Gary T. Leavens, Murali Sitaraman",2000,9780521771641,"collection of articles, frameworks and architectures, formal methods and semantics, reactive and distributed systems, object-based specification and verification",
The Proactive Manager: The Complete Book of Problem Solving and Decision Making,"Lorne C. Plunkett, Guy A. Hale",1982,047108509X,"proactive skills, statistical process comtrol, people problems, developing skills in others",
"Microsoft Secrets: How the World's Most Powerful Software Company Creates Technology, Shapes Markets, and Manages People","Michael A. Cusumano, Richard W. Selby",1995,9780028740485,"synch-and-stabilize, short life cycles, brain trust",
Component-Based Software Engineering: Putting the Pieces Together,"George T. Heinman, William T. Councull",2001,9780201704853,"CORBA CCM, Transactional COM+, EJB, UML, subsystems, architecture",
Wisdom of the Gurus: A Vision for Object Technology,Charles F. Bowman,1996,9780134998497,"article collection, object modeling, patterns, distributed processing, object data management",82.5
Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design,"Larry L. Constantine, Lucy A.D. Lockwood",1999,9780201924787,"user-interfaces, task modeling, usability testing, human-computer interaction, usability testing",
Technical Communication,David E. Fear,1977,673150178,"reports, group speaking, oral presentations, grammer, punctuation, word usage, research papers",
Roundtable on Technical Leadership: A SHAPE Forum Dialogue,"Gerald M. Weinberg, Marie Benesh, James Bullock",2002,9780932633514,"programming, design, documentation, teaching, learning, stupid tricks",
Framework Process Patterns: Lessons Learned Developing Application Frameworks,James Carey Brent Carlson,2002,9780201731323,"framework artifacts, requirements, social aspects, documentation, framework use",
Roundtable on Project Management: A SHAPE Forum Dialogue,"James Bullock, Gerald M. Weinberg, Marie Benesh",2001,9780932633484,"project trouble, project indicators, people indicators, estimating, project death",
"COTS-Based Software Systems: Second International Conference, ICCBSS 2003","Hakan Erdogmus, Tao Weng",2003,9783540005629,"architecture, interoperability conflicts, secure integration architectures, reusable COTS attributes",
"COTS-Based Software Systems: First International Conference, ICCBSS 2002","John Dean, Andree Gravel",2002,9783540431008,"security wrapper technologies, integrating COTS into systems",
Patterns for Time-Triggeren Embedded Systems: Building Reliable applications with the 8051 family of microcontrollers,Michael J. Pont,2001,9780201331387,"design patterns, oscillator hardware, reset hardware, schedulers, user interfaces, single-processor systems, serial peripherals",
Enterprise Modeling with UML: Designing Successful Software Through Business Analysis,Chris Marshall,2000,9780201433135,"business process, process design, business models, automation, business entities",
The Synthesizer Generator: A System for Constructing Language-Based Editors,"Thomas W. Reps, Tim Teitelbaum",1989,3540968571,"code generation, attribute-grammer concept, hybrid editors, static inferences with attributes",
Project Retrospective: A Handbook for Team Reviews,Norman L. Kerth,2001,9780932633446,"postmortems, selling a retrospective, preparing for retrospective, data collection",
A Guide to LATEX: Document Preparation for Beginners and Advanced Users,"Hekmut Kopka, Patrick W. Daly",1993,9780201568899,"TEX document style, mathematical formulas, displayed text format, SLITEX, LATEX extensions, user-defined structures",
Quantifying the User Experience: Practical Statistics for User Research,"Jeff Sauro, James R. Lewis",2012,9780123849687,"usability testing, user research, statistical differences, estimate precision, sample size requirements, standardized usability questionnaires",
Applying Domain-Driven Design and Patterns: With Examples in C# and .NET,Jimmy Nilsson,2006,9780321268204,"test driven development, domain models, refactoring, domain-driven design, NHibernate, infrastructure, UI testing, SOA",
Design Patterns in Java,"Steven John Metsker, William C. Wake",2006,9780321333025,"Java remote method invocation, State pattern, Observer pattern, Adapter pattern, Chain of Responsibility pattern, optimization",
Object-Oriented Computation in C++ and Java: a practical guide to design patterns for object-oriented computing,Conrad Weisert,2007,9780932633637,"numeric data items, vectors, matrices, point-extent pattern, inheritance, polymorphism, design patterns, arithmetic operation conventions",
The Human Interface: New Directions for Designing Interactive Systems,Jef Rashkin,2000,9780201379372,"human-machine interaction, interface design, cognetics, interface navigation, interface issues outside UI",
The Pragmatic Programmer from journeyman to master,"Andrew Hunt, David Thomas",2000,9780201616224,"software rot, testing, automation, fight duplicating knowledge, shells, assertive programming, avoiding programming by coincidence",
The Object Primer Third Edition: Agile Model-Driven Development with UML 2.0,Scott W. Ambler,2004,9780521540186,"o-o concepts, fuul lifecycle object-oriented testing (FLOOT), agile model-driven development (AMDD), usage modeling, agile architecture,  dynamic object modeling, agile database development",
Waltzing with Bears: Managing Risk on Sonftware Projects,"Tom DeMarco, Timothy Lister",2003,9780932633606,"confrontation of schedule flaws, requirements inflation, turnover, specification breakdown, under-performance",
The Mythical Man-Month: 20th Anniversary Edition,Frederick P. Brooks Jr.,1995,9780201835953,"project management, conceptual integrity, complexity",
Buliding Systems from Commercial Components,"Kurt C. Wallnau, Scott A. Hissam, Robert C Seacord",2002,9780201700640,"ensembles, componenet-based requirements engineering, risk-misfit",102
The Elements of UML 2.0 Style,Scott W. Ambler,2005,9780521616782,"class diagrams, component diagrams, object diagrams, sequence diagrams, state machine diagrams",
The Elements of Jave Style,"Allan Vermeulen, Scott W. Ambler, Greg Bumgardner, Eldon Metz, Trevor Misfeldt, Jim Shur, Patrick Thompson",2000,9780521777681,"naming conventions, formatting conventions, documentation conventions, programming conventions, packaging conventions",
Software Reusability: Volume II Applications and Experience,"Ted J. Biggerstaff, Alan J. Perlis",1989,201500183,"case studies, synthesizing programming environments, frameworks",
"Enterprise Architecture Planning: Developing a Blueprint for Data, Applications and Technology",Steven H. Spewak,1992,9780471599852,"management information systems, system design, data architecture, applications architecture, business model",
Extreme Programming in Practice,"James Newkirk, Robert C. Martin",2001,9780201709377,"user stories, iterations,release planning, refactoring, infrastructure thrashing",
Extreme Programming Explored,William C. Wake,2002,9780201733976,"refactoring, team practices, programming, stories, planning iterations",
Planning Extreme Programming,"Kent Beck, Martin Fowler",2001,9780201710915,"user story prioritization, outsourcing, business contracts, release planning, iteration planning, team changes",
"Measureing Software Reuse: Principles, Practices, and Economic Models",Jeffrey S. Poulin,1997,9780201634136,"COTS software, software metrics, reuse metrics, abstract data types, costs",
Extreme Programming Explained: Embrace Change,Kent Beck,2000,9780201616415,"XP lifecycle, retrofitting XP, people roles, cost of change",
Extreme Programming Installed,"Ron Jeffries, Ann Anderson, Chet Hendrickson",2001,9780201708424,"XP development cycle, user stories, story estimation, xUnit tests, acceptance tests,pair programming",
Software Reusability: Volume I Concepts and Models,"Ted J. Biggerstaff, Alan J. Perlis",1989,201080176,"composition-based systems, generation-based systems, application generators, ",
Managing Software Reuse: A Comprehensive Guide to Stratesically Reengineering the Organization for Reusable Components,Wayne C. Lim,1998,9780135523735,"reusable assests, reuse adoption model, cost justification model, reuse metrics, manufacturing reuable software",
Japan's Software Factories: A Challenge to U.S. Management,Michael A. Cusumano,1991,9780195062168,"Fujitsu, NEC, Toshiba, software development efficiency",
Data Warehousing for Dummies,Alan R. Simon,1997,9780764501708,"data warehouse architecture, multidimensional databases, online analytical processing, relational databases, data warehousing middleware, data mining, external data",
Extreme Programming Examined,"Giancarlo Succi, Michele Marchesi",2001,9780201710403,"just-in-time software development, XP frameworks, design patterns, pair programming, extreme modeling",
Questioning Extreme Programming,Pete McBreen,2003,9780201844573,"requirements, risks, incremental development, questioning XP practices, oral documentation",
Software Architecture for Product Families: Principles and Practice,"Mehdi Jazayeri, Alexander Ran, Frank van der Linden",2000,9780201699678,"architectural description language, architecture assesment, architecture recovery, cases study, family architectures",
Applied Software Architecture,"Christine Hofmeister, Robert Nord, Dilip Soni",2000,9780201325713,"conceptual architecture view,  code architecture view, healthy vision, comm vision",
C Quick Reference,Alan C. Plantz,1988,9780880223720,C API,
Architecture Enterprise Solutions: Patterns for High-Capability Internet-Based Systems,"Paul Dyson, Andy Longshaw",2004,9780470856123,"internet programming, computer architecture,system performance patterns, internet technology systems, system control patterns, system evolution patterns",
"Software Reuse: Architecture, Process, and Organization for Business Success","Ivar Jacobson, Martin Griss, Patril Jonsson",1997,9780201924763,"domain engineering, business process reengineering, object-oriented software engineering, layered architecture, application family engineering",
Framing Software Reuse: Lessons from the Real World,Paul G. Bassett,1997,9780133278590,"archtypes, structured programming, case studies, managing transition to reuse, main frame commands, frame technology",
"A Gift of Fire: Social, Legal, and Ethical Issues in Computing",Sara Baase,1997,9780134587790,"encryption, hackers, privacy, wiretapping, professional ethics",
"More Exceptional C++: 40 New Engineering Puzzles, Programming Problems, and Solutions",Herb Sutter,2002,9780201704341,"C++ Standard Library, optimization, exception safety issues, memory management, inheritance, polymorphism, macros",
"Integration-Ready Architecture and Design: Software Engineering with XML, Java, .NET, Wireless, Speech, and Knowledge Technologies",Jeff Zhuk,2004,9780521525831,"presentation factories, VoiceXML, WAP, J2EE, J2ME, JSAPI, 802.11, RDF, UDDI, client-server software, JavaCard, integration technologies",
Practical Software Reuse: Strategies for Introducing Reuse Concepts in Your Organization,Donald J. Reifer,1997,9780471578536,"domain engineering, reusable assests, reuses operational concepts, business planning, operational transition",123
Pattern Languages of Program Design 4,"Neil Harrison, Brian Foote, Hans Rohnert",2000,9780201433043,"design patterns for, object-oriented infrastructure, security, temproal patterns, human-computer interaction, domain-oriented patterns",
Software Reuse: Domain Analysis and Design Process,"Jag Sodhi, Prince Sodhi",1999,9780070579231,"domain engineering, reuse strategies, planning for reuse, reuse management, CORBA, domain analysis, domain design process",
Software Engineering Concepts and Techniques: Proceedings of the NATO Conderences,"Peter Naur, Brian Randell, J.N. Buxton",1976,884053342,"design, production, service, software flexibility, large systems, education",
Managing Software Acquisition: Open Systems and COTS Products,"B. Craig Meyers, Patricia Oberndorf",2001,9780201704549,"commercial-off0the-shelf products, standards,reference models and architectures, managing transition, acquisition models",
History of Programming Languages - II,"Thomas J. Bergin, Richard G. Gibson",1996,9780201895025,"Pascal, Ada, Lisp, Smalltalk, Icon, Forth, C, C++, Prolog, discrete event simulation languages, FORMAC",
Enterprise Patterns and MDA: Building Better Software with Archetupe Patterns and UML,"Jim Arlow, Ila Neustadt",2004,9780321112309,"Model Driven Architecture, archetype patterns, customer pattern, order pattern, inventory pattern, literate modeling, ",
Dr. Peeling's Principles of Management: Practical Advice for the Frint-Line Manager,Nic Peeling,2003,9780932633545,"leadership principles, project management, managing team culture, oragizing a team, managing failing team",
Programming in Prolog Second Edition,"W.F. Clocksin, C.S. Mellish",1984,3540150110,"data structures, I/O, predicates, debugging, grammer rules",
Common LISP: The Language Second Edition,Guy L. Steele JR.,1990,131524143,"Pretty Printing, Loops, Series, Generators, data types, type specifiers, macros, declarations, characters, strings, streams, errors",
"Object Success: A Manager's Guide to Object Orientation, its Impact on the Corporation and its use for Reengineering the Software Process",Bertrand Meyer,1995,9780131928336,"reuse, o-o concepts, classes, architecture, abstraction, o-o lifecycle, prototyping, manager's role, technical manager, non-technical manager",
Software Architecture: Perspectives on an Emerging Discipline,"Mary Shaw, David Garlan",1996,9780131829572,"architectural styles, shared information systems, formal models, case studies, database integration",
"Software Reuse: Methods, Models, and Costs",Ronald J. Leach,1997,9780070369290,"domain analysis, reuse libraries, reengineering, case studies, reuse tools",
LISP Second Edition,"Patrick Henry Winston, Berthold Klaus Paul Horn",1984,201083728,"LISP primitives, symbol manipulation, recursion, iteration, data abstraction, list storage, debugging, symbolic pattern matching, augmented transition trees",
Knowledge Acquisition: Selected Research and Commentary,Sandra Marcus,1990,792390628,"editorials and technical papers, machine learning, knowledge bases, automated knowledge acquisition",
Illustrating C Revised Edition,Donald Alcock,1992,9780521468213,"illustrated C guide, pointers, arrays, I/O, dynamic storage, control, organization, components",
Pascal User Manual and Report ISO Pascal Standard Third Edition,"Kathleen Jensen, Niklaus Wirth",1985,3540960481,"data types, symbols and separators, set types, record types, file types, I/O",
Domain Oriented Systems Development: Principles and Approaches,"Kiyoshi Itoh, Toyohiko Hirota, Satoshi Kumagai, Hiroyuki Yoshida",1998,9789056991876,"requirements analysis, domain model, business system domain, plant monitoring and operations domain",
Object-Oriented Analysis and Design with Applications Second Edition,Grady Booch,1994,805353402,"software complexity, object model, classes and objects, notation, data acquisition, frameworks",
APL\360 Reference Manual Second Edition,Sandra Pakin,1972,057416135X,"primitive functions, expressions, errors, defined functions",
Case Studies in Object Oriented Analysis and Design,"Edward Yourdon, Carl Argila",1996,9780133051377,"analysis models, design model, documentation, object identification, class and object refinement, problem domain issues, quality issues, database design",141
Software Reengineering,Robert S. Arnold,1993,818632720,"business process engineering, data reengineering, source code analysis, software restructuring, documentation, object recovery, program analysis",
Encyclopedia of Computer Science Fourth Edition,"Anathony Ralston, Edwin D. Reilly, David Hemmendinger",2000,9780333778791,"hardware, computer systems, information and data, software, mathematics of computing,theory of computation, methodologies, applications, computing milieux",
A Logical Approach to Discrete Math,"David Gries, Fred B. Schneider",1993,3540941150,"set theory, combinatorics, modern algebra, graph theory, induction, functions and relations, sequences",
An Integrated Approach to Software Engineering Second Edition,Pankaj Jalote,1997,9780387948997,"software processes, requirements analysis and specification, function-oriented design, object-oriented design, testing,",
A Discipline of Programming,Edsger W. Dijkstra,1976,013215871X,"separation of concerns, predicate transformers, characterization of semantics, Euclid's Algorithm, properly terminating constructs",
Rise and Resurrection of the American Programmer,Edward Yourdon,1998,9780139561603,"system dynamics, good-enough software, internet programming paradigm, Microsoft paradigm, embedded systems",
The Essence of Human-Computer Interaction,Christine Faulkner,1998,9780137519750,"user's physical capabilities, mental capabilities, testing, ergonomics, health, and saftey, usability",
Structure and Interpretation of Computer Programs,"Harold Abelsom, Gerald Jay Sussman, Julie Sussman",1985,262010771,"building abstractions, metalinguistic abstraction, register machines, modularity, objects, state",
Glitch: The Hidden Impact of Faulty Software,Jeff Papows Ph.D.,2011,9780132160636,"cyberterrorism, cloud computing, infrastructure, cyber crime, outsourcing",
The Art of Computer Programming. Vol 1/ Fundamental Algorithms Second Edition,Donald E. Knuth,1973,201038099,"basic math, information structures, linear lists, binary trees, doubly linked lists, arrays",
Programming Productivity,Capers Jones,1986,9780070328112,"problems with measuring software, high-level languages, programming productivity, program maintenance, reusable modules, staff sizes",
Death March Second Edition,Edward Yourdon,2004,9780131436350,"why do they happen, why do people paticipate, team-building issues, good-enough software, negotiations",
Bionomics: The Inevitablity of Capitalism,Michael Rothschild,1990,9780805010688,"capatilism as natural process, capatilism evolution, learning, feedback loops, exploitation",
Software Development: Building Reliable Systems,Marc Hamilton,1999,9780130812469,"building team, software architecture, organization, software lifecycle, programming languages, development tools, multithreaded programming",
Peopleware: Productive Projects and Teams Second Edition,"Tom DeMarco, Timothy Lister",1999,9780932633439,"software management, managing the human resource, office environment, productive teams",159
Agile Software Development in the Large: Diving in Deep,Jutta Eckstein,2004,9780932633576,"agile manifesto, project report, team building, architecture, organization structure",
Functional Programming: Application and Implementation,Peter Henderson,1980,138799997,"symbolic data, recursive functions, machine architecture, higher-order functions, non-deterministic primitives, delayed evaluation",
Agile and Iterative Development: A Manager's Guide,Craig Larman,2004,131111558,"Scrum, XP, RUP, Evo, pair programming, test-driven development",
Silicon Valley Fever: Growth of High-Technology Culture,"Everett M. Rogers, Jusith K. Larsen",1984,465078214,"Apple, Intel, venture capitalists, innovations",
Computer Related Risks,Peter G. Neumann,1995,9780201558050,"privacy, reliability, safety, security, system-oriented perspective, human-oriented perspective, ",
Pattern-Oriented Software Architecture Volume 2: Patterns for Concurrent and Networked Objects,"Douglas Schmidt, Michael Stal, Hans Rohnert, Frank Buschmann",2000,9780471606956,"service access and configuration patterns, event handling patterns, sychronization patterns",
UML Distilled Third Edition: A Brief Guide to the Standard Object Modeling Language,Martin Fowler,2004,9780321193681,"UML 2.0, class diagrams, sequence diagrams, use case diagrams, state machine diagrams",
